rank,GID_3,NAME_3,NAME_2,NAME_1,TYPE_3,cells,risk_mean,risk_max,risk_p75,risk_p90,risk_p95,class_max,class_3plus_cells,class_3plus_pct,risk_mean_norm,risk_max_norm,risk_p75_norm,risk_p90_norm,risk_p95_norm
74,THA.20.6.7_1,PaSak,MuangLamphun,Lamphun,Tambon,6689,0.36261171102523804,0.5133205056190491,0.3777519762516022,0.4148416817188263,0.4351513385772705,3,136,2.0331888174615043,0.2008335523860469,0.7353272467858969,0.254529000729612,0.3860688604492055,0.45809772615356226
75,THA.20.7.7_1,PaSang,PaSang,Lamphun,Tambon,934,0.36539143323898315,0.5050081014633179,0.38848501443862915,0.4147224724292755,0.43094685673713684,3,14,1.4989293361884368,0.2106919285971653,0.705847032187167,0.29259407349580546,0.38564608078494966,0.4431863930901737
76,THA.41.3.4_1,ThungRuangThong,Chun,Phayao,Tambon,6597,0.3737555742263794,0.48776495456695557,0.38768795132637024,0.4146474301815033,0.4432332515716553,3,274,4.153403061997878,0.2403556295701821,0.6446936448712123,0.2897672629656746,0.3853799409863006,0.4867604962714533
77,THA.10.23.2_1,Chomphu,Saraphi,ChiangMai,Tambon,1425,0.35810092091560364,0.5050604343414307,0.3747994303703308,0.41462039947509766,0.42572516202926636,3,21,1.4736842105263157,0.1848358869753529,0.7060326324597754,0.24405769970023866,0.38528407569743056,0.42466748115168984
78,THA.19.5.4_1,PhraBatWangTuang,MaePhrik,Lampang,Tambon,11910,0.358966201543808,0.5252760648727417,0.375286340713501,0.4144236445426941,0.4307350218296051,3,135,1.1335012594458438,0.18790463316835415,0.7777280307039504,0.24578454323889176,0.38458627786157623,0.44243511362679105
79,THA.10.5.1_1,BanAen,DoiTao,ChiangMai,Tambon,3735,0.3624970018863678,0.5369597673416138,0.3898161053657532,0.4143597483634949,0.432732492685318,3,139,3.7215528781793843,0.20042673265411667,0.8191646655976683,0.2973148312268865,0.3843596679615351,0.4495192096810624
80,THA.10.5.4_1,MuetKa,DoiTao,ChiangMai,Tambon,41136,0.3530135750770569,0.5578292608261108,0.37778592109680176,0.4141777753829956,0.43798208236694336,3,1288,3.1310774017891867,0.1667934477184854,0.8931790103002867,0.2546493872390089,0.3837142948040485,0.46813705206098216
81,THA.19.9.5_1,LuangNuea,Ngao,Lampang,Tambon,1637,0.36267247796058655,0.513063371181488,0.3753277659416199,0.4140472114086151,0.44209733605384827,3,57,3.481979230299328,0.2010490643199013,0.7344153110500969,0.24593145917222067,0.38325124537677224,0.48273193454567515
82,THA.10.22.6_1,NongHan,SanSai,ChiangMai,Tambon,5600,0.3632921576499939,0.5098293423652649,0.3815569281578064,0.4140118658542633,0.4343673586845398,3,118,2.107142857142857,0.20324677870961938,0.7229457215384995,0.26802338774824697,0.3831258912063204,0.4553173156915835
83,THA.23.3.3_1,MaeKhong,MaeSariang,MaeHongSon,Tambon,105378,0.3691383898258209,0.580704391002655,0.38939958810806274,0.41397491097450256,0.4328223466873169,3,2907,2.758640323407163,0.22398063330913975,0.974306411464178,0.2958376390799765,0.3829948295104011,0.4498378798529953
84,THA.20.7.8_1,PakBong,PaSang,Lamphun,Tambon,545,0.3584975004196167,0.4975135326385498,0.37362906336784363,0.4139641225337982,0.42517411708831787,3,4,0.7339449541284404,0.1862423692234161,0.6792672974750648,0.23990695465149056,0.3829565679507859,0.4227131821536671
85,THA.11.15.5_1,SiDonChai,Thoeng,ChiangRai,Tambon,4565,0.36360159516334534,0.49453839659690857,0.3802240490913391,0.41376993060112,0.4443409740924835,3,193,4.227820372398686,0.20434420902311157,0.6687158796993149,0.2632962883222021,0.3822678598777131,0.4906890706066349
86,THA.47.7.5_1,DonMun,SungMen,Phrae,Tambon,2107,0.36611127853393555,0.4985143840312958,0.3840991258621216,0.41347768902778625,0.42796337604522705,3,21,0.9966777408637874,0.21324488359977437,0.6828168498412409,0.27703937547833557,0.3812314155307898,0.432605380737926
87,THA.75.6.5_1,NaIn,Phichai,Uttaradit,Tambon,6767,0.368400514125824,0.5039587020874023,0.38339969515800476,0.4134157598018646,0.43564197421073914,3,185,2.7338554750997486,0.22136373288231198,0.7021253028027227,0.2745588214932303,0.3810117814952089,0.45983778155672334
88,THA.10.4.1_1,HuaiSai,DoiSaket,ChiangMai,Tambon,970,0.35506799817085266,0.4925166070461273,0.3691793978214264,0.4132414162158966,0.4218103885650635,3,8,0.8247422680412372,0.17407952675735502,0.6615455365935353,0.22412606951364378,0.3803934662362347,0.41078360836735917
89,THA.10.4.5_1,MaeKhue,DoiSaket,ChiangMai,Tambon,714,0.36461761593818665,0.49588459730148315,0.3890754282474518,0.4130288064479828,0.43574145436286926,3,9,1.2605042016806722,0.20794756010156437,0.6734902247528404,0.2946879954779487,0.37963943870503436,0.4601905911865449
90,THA.47.7.4_1,BanPong,SungMen,Phrae,Tambon,7753,0.35363754630088806,0.5128503441810608,0.3667977750301361,0.4129355549812317,0.43108680844306946,3,122,1.5735844189346058,0.1690063821761167,0.7336598037900717,0.21567956599130786,0.3793087193126702,0.44368273641601014
91,THA.19.12.6_1,ThoenBuri,Thoen,Lampang,Tambon,5596,0.3656819462776184,0.5162723064422607,0.37899482250213623,0.41288435459136963,0.4380468726158142,3,113,2.0192994996426017,0.21172224263895684,0.7457959054423686,0.2589367958142277,0.37912713544687227,0.4683668328085052
92,THA.10.21.9_1,YuWa,SanPaTong,ChiangMai,Tambon,2053,0.3635711669921875,0.5047623515129089,0.384348601102829,0.4127269387245178,0.4254148006439209,3,32,1.5586945932781295,0.20423629451381026,0.7049754719093037,0.27792414762070705,0.3785688549002224,0.4235667742957997
